,brewery_id,latitude,longitude,name,address1,city,state,code,country,phone,website
34,38,48.5193,-122.613,"Amicas Pizza, Microbrews and More",136 East Second Street,Salida,Colorado,81201,United States,1-719-539-5219,
35,39,37.7635,-122.40100000000001,Amstel Brouwerij,Antwoordnummer 7181,Amsterdam,,,Netherlands,800-022-9885,http://www.amstel.com
36,40,47.9775,11.185,Anacortes Brewing,320 Commercial Avenue,Anacortes,Washington,98221,United States,360-588-1720,http://www.anacortesrockfish.com/
37,41,39.0014,-123.35600000000001,Anchor Brewing,1705 Mariposa Street,San Francisco,California,94107,United States,1-415-863-8350,
38,42,44.3516,-69.1401,Andechser Klosterbrauerei,Bergstrae 2,Andechs,Bayern,,Germany,49-(0)8152-/-376-0,
39,43,43.0785,-89.382,Anderson Valley Brewing,17700 Boonville Rd,Boonville,California,95415,United States,1-800-207-2337,http://avbc.com/
40,44,38.5983,-90.209,Andrew's Brewing,,Lincolnville,Maine,4849,United States,(207) 763-3305,
41,45,40.2659,-76.8753,Angelic Brewing,,Madison,Wisconsin,53703,United States,1-608-257-2707,
42,46,44.2619,-88.4154,Anheuser-Busch,One Busch Place,Saint Louis,Missouri,63118,United States,1-800-342-5283,http://www.anheuser-busch.com/
43,47,42.321999999999996,-85.1851,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,17110,United States,717.221.1080,http://www.abcbrew.com
44,49,53.3433,-6.2846,Appleton Brewing,,Appleton,Wisconsin,,United States,,
45,51,35.6221,-82.5536,Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan,49017,United States,1-269-963-9690,http://www.arcadiaales.com/
46,54,33.818000000000005,-84.4353,Arcobrau Grafliches Brauhaus,Schlossalle 1,Moos,Baden-Wurttemberg,94554,Germany,09938 / 918 180,http://www.arcobraeu.de
47,55,44.3996,-68.334,Arthur Guinness & Son,St. James's Gate,Dublin,,,Ireland,,http://www.guinness.com
48,56,42.3372,-83.0186,Asahi Breweries,23-1 Azumabashi 1-chome,Tokyo,Kanto,,Japan,81-(03)-5608-5129,
49,57,44.2896,-94.449,Asheville Pizza and Brewing Co.,675 Merrimon Avenue,Asheville,North Carolina,28804,United States,(828) 254-1281,http://www.ashevillepizza.com/
50,58,44.2896,-94.449,ateck Pivovar,ikovo nmst 81,atec,,,Czech Republic,420-415-710-781,
51,59,38.5702,-90.8802,Athenian Brewery,102 Kifissou Avenue,Athens,,0,Greece,30-210-5384911,
52,61,-37.968,144.525,Atlanta Brewing Company,2323 Defoor Hills Rd NW,Atlanta,Georgia,30318,United States,404-355-5558,http://www.atlantabrewing.com/
53,62,40.0166,-105.219,Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,Maine,4609,United States,207-288-BEER,http://www.atlanticbrewing.com
54,1394,35.6197,-78.8085,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan,48207,United States,1-313-877-9205,http://www.atwaterbeer.com
55,64,39.5765,-106.094,Augusta Brewing,5221 Water Street,Augusta,Missouri,63332,United States,1-636-482-2337,
56,65,44.0486,-91.6774,Augustiner-BrÃÂ¤u MÃÂ¼nchen,Landsberger Strae 35,MÃÂ¼nchen,Bayern,,Germany,49-(0)89-/-519940,http://www.augustiner-braeu.de
57,66,44.4214,-84.1167,Australian Brewing Corporation,229-255 Old Melbourne Road,Little River,Victoria,3211,Australia,+61 (03) 5283 1161,http://www.australianbrewingcorporation.com/
58,68,32.7668,-117.195,Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado,80303,United States,1-877-844-5679,http://www.averybrewing.com/
59,69,39.42,-76.54,Back Road Brewery,310 Perry Street,LaPorte,Indiana,46350,United States,1-219-362-7623,http://www.backroadbrewery.com/
60,70,49.8901,10.9067,Backcountry Brewery,720 Main Street,Frisco,Colorado,80443,United States,1-970-668-2337,
61,71,44.1636,-93.9994,Backwater Brewing,1429 West Service Drive,Winona,Minnesota,55987,United States,1-507-452-2103,
62,72,44.3875,-68.2046,Bad Frog Brewery Company,,Rose City,Michigan,,United States,,
63,73,38.9169,-94.3943,Ball- und Brauhaus Watzke,KÃÂ¶tzschenbroder Str. 1,Dresden,Sachsen,1139,Germany,,http://www.watzke.de
64,74,48.3979,9.9899,Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California,92110,United States,1-800-581-2739,http://www.ballastpoint.com/
65,75,34.4702,-114.35,Baltimore-Washington Beer Works,P.O. Box 9829,Baltimore,Maryland,21284,United States,410.321.1892,http://www.ravenbeer.com/home.html
66,76,41.0523,-75.3354,Bamberger Mahr's-Bru,Wunderburg 10,Bamberg,Bayern,,Germany,49-(0)951-/-91517-0,
67,77,40.0453,-86.0155,Bandana Brewery,,Mankato,Minnesota,,United States,,
68,78,45.036,-93.1984,Bar Harbor Brewing Company,8 Mt. Desert Street,Bar Harbor,Maine,4609,United States,(207) 288-4592,http://www.barharborbrewing.com/
69,79,39.9745,-83.04899999999999,Bard's Tale Beer Company,211 NW Ward Road,Lee's Summit,Missouri,,United States,,
70,80,39.9719,-83.0027,Barfer - das kleine Brauhaus,Lautenberg 1,Ulm,Baden-Wrttemberg,,Germany,49-(0)731-/-6021110,
71,81,36.0721,-115.075,Barley Brothers Brewery and Grill,1425 McCulloch Boulevard,Lake Havasu City,Arizona,86403,United States,1-928-505-7837,
72,82,47.5203,-122.31200000000001,Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania,18372,United States,1-570-629-9399,http://www.barleycreek.com/
73,83,39.1136,-84.52600000000001,Barley Island Brewing,639 Conner Street,Noblesville,Indiana,46060,United States,1-317-770-5280,
74,84,39.9767,-74.1829,Barley John's Brewpub,781 Old Highway 8 SW,New Brighton,Minnesota,55112,United States,1-651-636-4670,
75,85,52.8046,-1.6281,Barley's #2 Smokehouse and Brewpub,1130 Dublin Road,Columbus,Ohio,43215,United States,1-614-485-0227,
76,86,10.9639,-74.7964,Barley's Brewing #1,467 North High Street,Columbus,Ohio,43215,United States,1-614-228-2537,
77,87,41.238,-77.0103,Barley's Casino & Brewing Company,4500 East Sunset Road #30,Henderson,Nevada,89014,United States,1-702-458-2739,
78,1393,44.1004,-70.2148,Baron Brewing Company,1605 S 93rd Building E Unit L,Seattle,Washington,98108,United States,206.764.1213,http://www.baronbeer.com/
79,88,48.3952,11.7288,Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio,45214,United States,513-421-2337,http://www.barrelhouse.com
80,89,46.8726,-114.02,Basil T's Brew Pub and Italian Grill,1171 Hooper Avenue,Toms River,New Jersey,8753,United States,1-732-244-7566,
81,90,38.2546,-85.7401,Bass Brewers,137 High Street,Burton-upon-Trent,Staffordshire,,United Kingdom,44-(01283)-513347,
82,91,28.5383,-81.3792,Bavaria,,Barranquilla,,,Colombia,,http://www.bavaria.com.co
83,92,37.7694,-122.51,Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,Pennsylvania,17701,United States,570.332.5050,http://www.bavarianbarbarian.com
84,93,51.897,-8.4769,Bayerische Staatsbrauerei Weihenstephan,Alte Akademie 2,Freising,Bayern,,Germany,49-(0)8161-/-536-0,
85,94,38.6112,-122.87100000000001,Bayern Brewing,1507 Montana Street,Missoula,Montana,59801,United States,1-406-721-1482,
86,96,38.8916,-121.29299999999999,"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky,40202,United States,1-502-584-2739,http://www.bluegrassbrew.com
87,97,44.4295,-68.975,Beach Brewing,,Orlando,Florida,,United States,,
88,98,55.997,-2.5098,Beach Chalet Brewery,1000 Great Highway,San Francisco,California,94121,United States,1-415-386-8439,
89,99,17.4977,-88.1867,Beamish & Crawford,South Main Street,Cork,,,Ireland,353-21-911100,
90,100,42.2843,-85.4538,Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California,95448,United States,1-707-433-2337,http://www.bearrepublic.com/
91,101,43.1947,-88.729,Beck's,,,,,Germany,,http://www.becks.de/
92,102,41.5059,-90.5171,Beermann's Beerwerks BrewPub,,Lincoln,California,,United States,,
93,103,52.4793,13.4293,Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,Maine,4915,United States,207-338-4216,http://www.belfastbaybrewing.com/
94,104,52.5234,13.4114,Belhaven Brewery,Spott Road,East Lothian,Scotland,,United Kingdom,44-(0)1368-862734,
95,106,40.622,-75.382,Belize Brewing,PO Box 1068,Belize City,,,Belize,,
96,107,40.1106,-88.2073,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan,49053,United States,269.382.2338,http://www.bellsbeer.com/
97,108,32.3293,-96.6253,Bellows Brew Crew,,Watertown,Wisconsin,,United States,,
98,109,51.5163,5.5977,Bent River Brewing,1413 Fifth Avenue,Moline,Illinois,61265,United States,1-309-797-2722,
99,110,51.544,5.1285,Berliner Kindl Brauerei AG,Werbellinstrasse 50,Berlin,Berlin,,Germany,49-(0)30-/-68992-0,
100,111,51.1684,6.0515,Berliner-Kindl-Schultheiss-Brauerei,Indira-Ghandi-Strae 66-69,Berlin,Berlin,,Germany,49-(0)30-/-9609-0,
101,112,37.7756,-122.398,Bersaglier,Calle 92 NÃ¯Â¿Â½ 101,San Martin,Buenos Aires,1650,Argentina,(54)-011-4713-6557,http://www.bersaglier.com.ar/
102,113,35.8104,-78.6179,Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania,18018,United States,610.882.1300,http://www.thebrewworks.com/bethlehem-brew-works
103,114,45.0223,-84.6826,Bibiana Brewing,,Urbana,Illinois,,United States,,
104,115,42.9634,-85.6681,Biddy Early Brewery,Inagh,Ennis,,,Ireland,353-065-6836742,
105,116,36.2426,-115.236,Bierbrouwerij Bavaria,Burg. van den Heuvelstraat 35,Lieshout,,0,Netherlands,31-0499-428111,
106,117,45.7736,-111.17200000000001,Bierbrouwerij De Koningshoeven,Eindhovenseweg 3,Berkel-Enschot,,,Netherlands,31-013-5358147,http://www.latrappe.nl/
107,118,42.1511,-87.9144,Bierbrouwerij St.Christoffel,Metaalweg 10,Roermond,,,Netherlands,31-71.51.56.085,http://www.christoffelbeer.com
108,119,49.1049,-122.69,Big Bang Brewery (Closed),650 Fifth Street #403,San Francisco,California,94107,United States,,
109,120,49.1344,-123.065,Big Boss Brewing Company,1249-A Wicker Drive,Raleigh,North Carolina,27604,United States,919-834-0045,http://www.bigbossbrewing.com
110,121,50.9847,-113.956,Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,Michigan,49735,United States,,http://www.bigbuck.com/gaylord.html
111,122,46.9223,-114.073,Big Buck Brewery and Steakhouse #2,,Grand Rapids,Michigan,,United States,,
112,123,47.6576,-122.31299999999999,Big Dog's Brewing Company,4543 North Rancho Road,Las Vegas,Nevada,89130,United States,1-702-645-1404,
113,124,45.8981,-123.961,Big Hole Brewing,401 East Main Street,Belgrade,Montana,59714,United States,1-800-793-6656,
114,125,50.0943,8.6913,Big Horn Brewing @ The RAM 2,700 North Milwaukee Avenue,Wheeling,Illinois,60090,United States,1-847-520-1222,
115,127,46.0597,13.2269,Big Ridge Brewing,15133 Highway 10,Surrey,British Columbia,0,Canada,1-604-574-2739,
116,128,44.5153,7.8922,Big River Brewing,180 - 14200 Entertainment Boulevard,Richmond,British Columbia,0,Canada,1-604-271-2739,
117,129,44.6601,10.2814,Big Rock Brewery,5555 76th Avenue SE,Calgary,Alberta,0,Canada,1-403-720-3239,
118,130,37.8634,-122.259,Big Sky Brewing,5417 Trumpeter Way,Missoula,Montana,59808,United States,1-800-559-2774,
119,131,49.974,6.5227,Big Time Brewing,4133 University Way NE,Seattle,Washington,98105,United States,1-206-545-4509,http://www.bigtimebrewery.com/
120,132,45.5235,-122.676,Bill's Tavern & Brewhouse,188 North Hemlock,Cannon Beach,Oregon,97110,United States,1-503-436-2202,
121,133,33.9132,-117.889,Binding Brauerei AG,Darmstdter Landstrae 185,Frankfurt am Main,Hessen,,Germany,49-(0)69-/-60650,
122,135,41.8817,-87.6926,Birra Forst,"Via Val Venosta, 8",Lagundo / Algund,,0,Italy,39-0473-260111,
123,136,37.23,-80.41,Birra Moretti,Viale Venezia 9,Udine,,,Italy,39-800-1859.00,
124,137,36.152,-86.7989,Birrificia Le Baladin,"Piazza V Luglio, 15",Piozzo,,0,Italy,39-0173-795431,
125,138,38.8339,-104.821,Birrificio Torrechiara,Strada Pilastro 35,Torrechiara,,,Italy,39-0521355113,
126,139,45.5325,-122.686,Bison Brewing,2598 Telegraph Avenue,Berkeley,California,94704,United States,1-510-841-7734,
127,140,39.1716,-86.5104,Bitburger Brauerei,RÃÂ¶mermauer 3,Bitburg,Rheinland-Pfalz,,Germany,49-(0)6561-/-14-0,
128,141,43.0598,-89.3085,"BJ's Pizza, Grill, and Brewery - Jantzen Beach",12105 North Center Avenue,Portland,Oregon,97217,United States,1-503-289-5566,
129,142,41.5118,-90.5746,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California,,United States,714-990-2095,http://www.bjsrestaurants.com/beer.aspx
130,143,35.0845,-106.65100000000001,Black Sheep Brewery,Wellgarth,Ripon,North Yorkshire,,United Kingdom,44-(01765)-689227,
131,144,40.7591,-73.0215,Black Toad Brewing Company,Chicago IL 60612,Chicago,Illinois,,United States,,
132,145,34.8531,-82.3983,Blacksburg Brewing Company,P.O. Box 315,Blacksburg,Virginia,24063,United States,,http://www.blacksburgbrewing.com/
133,146,38.253,-85.654,Blackstone Restaurant & Brewery,1918 West End Avenue,Nashville,Tennessee,37203,United States,1-615-327-9969,
134,147,44.1332,-73.0784,Blicks Brewing,,Colorado Springs,Colorado,,United States,,
135,148,53.4807,-2.2344,Blitz-Weinhard Brewing,Portland OR 97209,Portland,Oregon,,United States,,
136,149,35.1584,-114.573,Bloomington Brewing Company,"1795 E 10th St,",Bloomington,Indiana,47402,United States,812.323-2112,http://bbc.bloomington.com
137,150,34.0532,-118.256,BluCreek Brewing Company,2605 South Stoughton Road,Madison,Wisconsin,53716,United States,1-608-204-0868,
138,151,42.4311,-83.4833,Blue Cat Brew Pub,113 18th Street,Rock Island,Illinois,61201,United States,1-309-788-8247,
139,152,13.7783,100.509,Blue Corn Caf and Brewery - Albuquerque,,Albuquerque,New Mexico,,United States,,
140,153,35.3733,-119.01899999999999,Blue Point Brewing,161 River Avenue,Patchogue,New York,11772,United States,1-631-475-6944,http://www.bluepointbrewing.com/
141,155,35.0868,-89.8101,Blue Ridge Brewing,217 North Main Street,Greenville,South Carolina,29601,United States,1-864-232-4677,http://www.blueridgebrewing.com/
142,156,52.6739,14.9004,"Bluegrass Brewing Company, Inc.",3929 Shelbyville Rd.,Louisville,Kentucky,40207,United States,502-899-7070,http://www.bbcbrew.com
143,157,42.3144,-71.1034,Bobcat Cafe & Brewery,4 Main Street,Bristol,Vermont,5443,United States,(802) 453-3311,http://www.bobcatcafe.com/
144,158,42.347,-71.0989,Boddington's Brewery,,Manchester,Manchester,,United Kingdom,,
145,159,42.8666,-109.866,Boiler Room Brewpub,2100 Casino Drive,Laughlin,Nevada,89029,United States,1-702-298-4000,
146,160,40.0267,-105.24799999999999,Bonaventure Brewing Co,404 South Figueroa Street #418,Los Angeles,California,90071,United States,(213) 236-0802,http://www.bonaventurebrewing.com/
147,161,39.0821,-94.5965,Bonfire Brewery,,Northville,Michigan,,United States,,
148,162,48.7475,-122.48100000000001,Boon Rawd Brewery,999 Samsen Road,Bangkok,,,Thailand,66-(662)-669-2050,
149,163,45.4289,-73.6313,Bootleggers Steakhouse and Brewery,,Bakersfield,California,,United States,,
150,164,49.7185,5.5571,Borsodi SÃÂ¶rgyÃÂ¡r,,BÃÂ¶cs,,,Hungary,,http://www.borsodisorgyar.hu/
151,165,50.4852,2.8306,Boscos Memphis Brewing,,Germantown,Tennessee,,United States,,
152,166,50.8431,3.6077,BOSS Browar Witnica S.A.,Ul. Marii Konopnickiej 1,Witnica,,,Poland,48-(95)-751-51-14,http://www.browar-witnica.pl/
153,167,50.1507,5.7442,Boston Beer Company,30 Germania Street,Boston,Massachusetts,2130,United States,1-800-372-1131,http://www.samueladams.com/
154,168,50.5593,4.1365,Boston Beer Works,61 Brookline Avenue,Boston,Massachusetts,2215,United States,1-617-536-2337,
155,170,50.3693,3.827,Bottom's Up Brewing,402 West Pine Street,Pinedale,Wyoming,82941,United States,1-307-367-2337,
156,171,50.5109,3.3883,Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,80301,United States,1-303-444-8448,http://boulderbeer.com/
157,173,49.9842,4.3111,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri,64108,United States,1-816-474-7095,http://www.blvdbeer.com/
158,174,50.3705,3.7263,Boundary Bay Brewery and Bistro,1107 Railroad Avenue,Bellingham,Washington,98227,United States,1-360-647-5593,
159,175,50.7046,5.822,Brasal-Brasserie Allemande,,LaSalle,Quebec,,Canada,,
160,176,50.7853,4.2437,Brasserie Artisanale de Rulles,Rue Maurice Grevisse 36,Habay-Rulles,Luxembourg,,Belgium,32-(0)63-41-18-38,
161,177,50.7975,2.5412,Brasserie Bnifontaine,"13, rue Pasteur",Bnifontaine,,,France,33-03.21.08.68.68,
162,178,50.2248,4.4102,Brasserie Clarysse,Krekelput 16-18,Oudenaarde,Oost-Vlaanderen,,Belgium,32-055-31-17-21,
163,179,50.6493,3.9242,Brasserie D'Achouffe,Rue du Village 32,Houffalize-Achouffe,Luxembourg,,Belgium,32-061-28-81-47,
164,180,-17.6797,-149.407,Brasserie d'Ecaussinnes,"rue Restaumont, 118",Ecaussinnes,Hainaut,,Belgium,32-067-/-34-22-77,
165,182,45.7075,5.9153,Brasserie d'Orval,Abbaye de Notre-Dame d'Orval,Villers-devant-Orval,Luxembourg,,Belgium,32-061-31-12-61,
166,183,47.2543,7.0026,Brasserie de Blaugies,"Rue de la Frontire, 435",Blaugies,Hainaut,,Belgium,32-065-65-03-60,
167,184,50.6204,3.7592,Brasserie de Brunehaut,Rue de Panneries 17,Brunehaut,Hainaut,7623,Belgium,32-069-34-64-11,http://www.brunehaut.com/
168,185,48.0028,6.6583,Brasserie de Cazeau,,,,,Belgium,,
169,186,32.3906,-93.3739,Brasserie de l'Abbaye de Scourmont (Trappistes),Route de Rond Point 294,Chimay-Forges,Hainaut,,Belgium,32-060-21-30-63,
170,187,50.3114,4.9435,Brasserie De L'Abbaye Des Rocs,Chausse Brunehault 37,Montignies-sur-Roc,Hainaut,,Belgium,32-065-75-59-99,
171,188,50.5779,3.5554,Brasserie de l'Abbaye Val-Dieu,Val Dieu 225,Aubel,Lige,,Belgium,32-087-68-75-87,
172,189,50.5718,3.6508,Brasserie de la Senne,Victor Nonnemansstraat 40a,Sint-Pieters-Leeuw,Vlaams Brabant,,Belgium,32-0497-/-93.23.75,
173,190,50.3089,3.6285,Brasserie De Saint Sylvestre,"121, rue de la Chapelle",St-Sylvestre-Cappel,,,France,33-03.28.40.15.49,http://www.brasserie-st-sylvestre.com/
174,191,50.7428,3.6875,Brasserie De Silenrieux,Rue de Noupr s/n,Cerfontaine-Silenrieux,Namur,,Belgium,32-071-63-32-01,
175,192,50.286,5.5127,Brasserie de Silly,Rue Ville Basse 141,Silly,Hainaut,,Belgium,32-068-55-16-95,
176,193,50.6054,3.0775,Brasserie de Tahiti,BP 597,Tahiti,,,French Polynesia,689-467600,
177,194,50.408,4.1659,Brasserie de Vervifontaine,Vervierfontaine 100,Jalhay-Vervifontaine,Lige,,Belgium,32-087-64-83-03,
178,195,50.2024,4.8914,Brasserie des Cimes,152 Avenue St Simond,Aix les Bains,,,France,33-04.79.88.16.80,
179,196,50.2601,3.3125,Brasserie des Franches-Montagnes,Chemin des Buissons 8,Saignelgier,,,Switzerland,41-32-951-26-26,
180,197,50.6746,4.1509,Brasserie des Gants,"rue du Castel, 19",Irchonwelz,Hainaut,,Belgium,32-068-28-79-36,
181,198,45.4682,-73.5913,Brasserie des Vosges,680 rue de la Brasserie,Dommartin les Remiremont,,,France,33-03.29.22.11.36,
182,199,42.6483,9.4529,Brasserie du Benin,BP 896,Lom,,,Togo,228-215-062,
183,200,50.8851,2.4329,Brasserie du Bocq,Rue de la Brasserie 4,Purnode,Namur,,Belgium,32-083-61-07-80,
184,201,50.3682,4.3266,Brasserie Dubuisson,Chause de Mons 28,Pipaix,Hainaut,,Belgium,32-069-67-22-21,
185,202,50.8416,4.3355,Brasserie Dupont,Rue Basse 5,Tourpes,Hainaut,,Belgium,32-069-67-10-66,
186,203,48.593,7.7149,Brasserie Duyck,"113, rte Nationale",Jenlain,,,France,33-03.27.49.70.03,
187,204,47.6715,9.5888,Brasserie Ellezelloise,Rue Guinaumont 75,Ellezelles,Hainaut,,Belgium,32-068-54-31-60,
188,205,47.9706,11.7808,Brasserie Fantme,Rue Pral 8,Soy,Luxembourg,,Belgium,32-(0)86-47-70-44,
189,206,53.0787,8.7901,Brasserie Grain D'Orge,,Ronchin,,,France,,
190,207,51.3055,8.1259,Brasserie La Binchoise,Rue Faubourg St Paul 38,Binche,Hainaut,,Belgium,32-(0)64-37-01-75,
191,208,49.8942,10.8855,Brasserie La Caracole,Cte Marie-Thrse 86,Falmignoul,Namur,,Belgium,32-082-74-40-80,
192,209,49.9477,11.5659,Brasserie La Choulette,16 rue des Ecoles,Hordain,,,France,33-03.27.35.72.44,
193,210,48.2351,13.8292,Brasserie Lefebvre,Chemin du Croly 52,Quenast,Brabant Wallon,,Belgium,32-067-67-07-66,
194,211,47.3625,15.0947,Brasserie McAuslan,5080 Rue St-Ambroise,Montreal,Quebec,H4C 2G,Canada,1-514-939-3060,http://www.mcauslan.com
195,212,52.3935,9.6814,Brasserie Pietra,Route de la Marana,Furiani,,,France,33-04.95.30.14.70,
196,213,47.8243,10.0239,Brasserie Thiriez,22 rue Wormhout,Esquelbecq,,,France,33-03.28.62.88.44,
197,214,47.3642,8.5245,Brasserie Val de Sambre,Rue Vandervelde 273,Goze,Hainaut,,Belgium,32-071-56-20-73,
198,216,47.7818,9.6215,Brasserie-Brouwerij Cantillon,Gheudestraat 56,Anderlecht,Brussel,,Belgium,32-(0)2-521-49-28,http://www.cantillon.be/
199,217,47.3301,9.4135,Brasseries Kronenbourg,68 route d'Oberhausbergen,Strasbourg,,,France,33-03.88.27.44.88,
200,218,50.8753,6.9944,Brauerei & Gasthof zur Krone,Brenplatz 7,Tettnang,Baden-Wrttemberg,,Germany,49-(0)7542-/-7452,
201,219,47.4301,9.3794,Brauerei Aying Franz Inselkammer KG,Zornedinger Strae 2,Aying,Bayern,,Germany,49-(0)8095-/-9065-0,
202,220,51.2216,6.7853,Brauerei Beck,Am Deich 18-19,Bremen,Bremen,,Germany,49-(0)421-/-50940,
203,221,51.2847,7.2936,Brauerei C. & A. Veltins GmbH & Co.,An der Streue,Meschede,Nordrhein-Westfalen,,Germany,49-(0)2934-/-959-0,
204,222,49.8942,10.8855,Brauerei Fssla,Obere Knigsstrae 19-21,Bamberg,Bayern,,Germany,49-(0)951-/-26516,
